matricule;classe;mpc;credits_capitalized;total_credits_registered;total_credits;repeating;count_sem_registration
19C105;AU1;1;0;60;60;1;2
19C103;AU2;1;60;60;60;0;2
19C102;AU2;1;60;60;60;0;2
18C106;AU2;1;60;60;60;1;2
18C107;AU2;1;60;60;60;1;2
19C006;AU2;1;60;60;60;0;2
15C111;AU2;1;60;60;60;0;2
19C098;AU2;1;60;60;60;0;2
19C104;AU2;1;60;60;60;0;2
20C036;AU2;1;60;60;60;0;2
19C125;AU2;1;60;60;60;0;2
19C106;AU2;1;60;60;60;0;2
18C103;AU2;1;60;60;60;1;2
19C107;AU2;1;60;60;60;0;2
19C097;AU2;1;60;60;60;0;2
19C108;AU2;1;60;60;60;0;2
18C093;AU3;1;120;120;120;0;4
18C098;AU3;1;120;120;120;0;4
18C096;AU3;1;120;120;120;0;4
18C097;AU3;1;120;120;120;0;4
18C099;AU3;1;120;120;120;0;4
18C105;AU3;1;120;120;120;0;4
18C094;AU3;1;120;120;120;0;4
18C092;AU3;1;120;120;120;0;4
18C091;AU3;1;120;120;120;0;4
18C108;AU3;1;120;120;120;0;4
18C095;AU3;1;120;120;120;0;4
18C102;AU3;1;120;120;120;0;4
