matricule;impaye;encaissement
14B184;550000;0
14B189;1010000;0
15B060;1010000;0
15B123;0;0
15B130;1110000;0
15B135;0;0
15B137;0;0
15B138;0;0
15B140;0;0
15B143;1110000;0
15B145;0;0
15B146;0;0
16B093;0;0
16B103;0;0
16B141;0;0
16B199;0;240000
16B200;0;0
16B202;0;0
16B230;0;0
16B234;0;0
16B236;0;0
16B265;0;0
16B273;0;0
16B281;0;0
17B312;0;0
18B285;0;0
18B286;0;0
19B284;0;0
12B289;0;0
13B190;0;0
13B194;0;0
13B195;50000;0
13B202;180000;0
13B206;0;2500
13B221;0;0
13B305;0;30000
14B121;0;115000
14B122;0;0
14B123;0;421000
14B124;0;113000
14B125;0;14000
14B126;0;0
14B127;0;0
14B128;0;0
14B129;0;0
14B130;0;0
14B131;0;0
14B132;0;2000
14B133;0;0
14B134;0;0
14B135;0;260000
14B140;0;0
14B141;0;0
14B142;0;0
14B144;0;0
14B145;0;900000
14B147;0;15000
14B149;0;1000
14B285;0;0
14B287;0;0
14B289;0;0
14B290;0;1000
14B291;0;1000
14B293;0;312500
15B012;0;0
15B147;0;0
