matricule;montant
17B001;420000
18C106;100000
14B030;115000
15B133;600000
17C088;700000
15B209;765000
14B252;390000
18B103;1475000
18C104;100000
18B048;115000
16B183;1000000
17B035;765000
18C091;115000
13B190;1250000
17B289;420000
14B016;115000
16B124;650000
16B124;115000
16B142;100000
18B061;100000
15B054;400000
14B034;115000
14B293;212500
18B257;400000
15C101;300000
16B252;630000
16B174;1000000
15B230;1475000
11B073;310000
15B086;425000
17B132;650000
16B309;115000
17B108;515000
14B057;760000
16B248;140000
17B039;715000
18B134;200000
15B160;115000
18C055;150000
18B161;115000
18B159;500000
18B155;310000
18B060;65000
16B139;65000
18B113;1475000
14B254;115000
17C078;800000
17B043;400000
15B194;375000
14B056;300000
14B108;1475000
18B285;500000
15B156;765000
15B031;60000
15B031;150000
15B031;115000
16B240;815000
17B215;400000
15B195;950000
16B134;650000
15B110;1460000
16B292;765000
18B167;115000
17B129;1475000
14B085;115000
16C085;360000
15B049;115000
16B213;115000
18B026;855000
15B102;115000
15B172;760000
17B140;115000
17B006;995000
18C048;400000
18B022;500000
18B222;440000
15B113;1475000
18C026;115000
14B023;570000
16B205;115000
16B161;115000
14B061;1165000
15B040;650000
14B110;650000
18B259;115000
14B137;115000
14C036;200000
18C028;515000
15B053;1475000
14B037;675000
17B027;400000
18B248;200000
14B099;300000
15C095;795000
18C069;400000
13B331;6000
17B302;490000
14B240;400000
14B136;1475000
17B056;400000
16B261;115000
14B047;115000
14B195;100000
16B277;150000
13B028;115000
17B174;1260000
16B221;650000
15B029;115000
16B145;665000
12B005;1440000
18C063;125000
12B274;750000
17B069;750000
15B251;800000
18B069;500000
15C022;200000
18B175;400000
17B151;1475000
17C044;400000
18B117;725000
18B081;650000
16B157;200000
18B081;115000
16B117;632000
14B022;1475000
18B039;115000
18B035;115000
14B063;115000
18B078;525000
13B128;1000000
15B111;120000
17B131;360000
17B143;115000
17B062;650000
17B062;115000
17B002;350000
18B050;710000
15B070;415000
16B300;475000
17B167;200000
17B059;400000
17C030;600000
18B259;1400000
14B127;700000
15B106;750000
16B251;300000
16B187;400000
17D001;187000
17B299;315000
14B149;1000000
15B023;650000
16B331;1475000
18B065;115000
15B190;500000
14B089;1475000
14B106;1000000
17B283;1000000
18B154;650000
18B082;115000
17B237;350000
18B021;345000
18B021;115000
17C008;400000
18B198;115000
17B014;115000
15B159;135000
15B250;730000
17B238;115000
17B116;600000
16B189;600000
17B288;115000
17B075;350000
10B213;500000
15B136;400000
13B027;115000
18C035;210000
17B024;420000
16B287;650000
18B246;1000000
14B087;500000
18B062;115000
16B193;115000
13B013;40000
16B163;765000
16B268;115000
18C021;115000
18C021;200000
14B074;240000
14B134;1000000
13B306;460000
16B267;1050000
13B297;255000
15B045;115000
15B045;650000
15B045;235000
18B265;115000
13B023;600000
13B297;185000
14B117;1175000
16B114;650000
16B114;115000
14B284;150000
15B115;650000
17C069;115000
16B185;1360000
16B185;115000
14B118;800000
14B045;115000
13B012;815000
17C028;600000
17B217;400000
18B174;400000
15B196;600000
16B277;120000
15C067;250000
14B119;1050000
15B107;615000
16B090;1000000
16B119;200000
15B196;165000
14B069;765000
18C093;600000
14B105;400000
14B096;100000
15B157;115000
14B043;1175000
14B094;1475000
16C099;150000
17B263;1075000
13B072;250000
15B233;115000
17B112;500000
18B235;995000
17B013;500000
15B004;115000
17B031;290000
17B031;400000
17B031;785000
14B080;765000
15B197;100000
13B047;760000
17B174;115000
14B198;1475000
13B054;115000
17B106;400000
18C050;115000
14B087;1475000
14B300;510000
18B242;110000
17B177;995000
15B237;650000
18B061;500000
16B142;500000
14B036;1475000
14B070;400000
18B116;515000
15B183;400000
15B006;115000
13B099;765000
15B228;115000
08B125;1150000
17B049;15000
14B099;200000
16B308;650000
