matricule;classe;mpc;credits_capitalized;total_credits_registered;total_credits;repeating;count_sem_registration
19C011;IRT3;1.15;32;60;60;;3
19C013;IRT2;1.51;44;60;60;;3
18C054;IRT2;0.99;44;60;60;;5
19C074;IRT2;1.19;44;60;60;;3
20C145;IRT2;2.3;60;60;60;;3
18C082;IRT2;0.975;38;60;60;;5
18C001;IRT2;0.95;38;60;60;;5
19C061;IRT2;1.5;60;60;60;;3
19C053;IRT2;1.84;44;60;60;;3
19C017;IRT2;1.18;38;60;60;;3
19C014;IRT2;1.58;52;60;60;;3
19C100;IRT2;1.37;38;60;60;;3
17C062;IRT2;1.03;63;120;120;1;7
19C050;IRT2;1.82;52;60;60;;3
19C092;IRT2;1.19;38;60;60;;3
19C085;IRT2;1.34;44;60;60;;3
19C048;IRT2;1.92;44;60;60;;3
19C060;IRT2;3.63;60;60;60;;3
19C010;IRT2;3.44;60;60;60;;3
