matricule;classe;mpc;credits_capitalized
18B091;MED1;2.32;60
18B150;MED1;1.81;54
17B126;MED1;1.25;96
16B208;MED1;0.63;77
16B153;MED1;0.65;69
18B190;MED1;2.64;60
18B091;MED2;2.32;60
18B150;MED2;1.81;54
17B126;MED2;1.25;96
16B208;MED2;0.63;77
16B153;MED2;0.65;69
18B190;MED2;2.64;60
17B093;MED3;2.4;120
17B210;MED3;2.97;120
16B201;MED3;1.71;167
16B296;MED3;1.64;158
16B156;MED3;2.25;164
17B215;MED3;2.36;120
15B046;MED4;1.1;17
13B105;MED4;0;34
15B033;MED4;0;0
13B013;MED5;1.4;95
14B107;MED5;2.32;100
14B019;MED5;2.02;94
13B048;MED5;1.73;95
