matricule;classe;credits_capitalized;mpc
18B150;MED2;54;1.81
18B247;MED2;40;1.4
18B146;MED2;51;1.9
18B220;MED2;51;1.49
18B141;MED2;52;1.59
18B062;MED2;52;1.47
18B099;MED2;37;1.1
18B093;MED2;53;1.6
18B245;MED2;47;1.76
18B195;MED2;44;1.61
18B275;MED2;56;1.77
18B108;MED2;60;1.97
18B102;MED2;60;1.89
18B134;MED2;52;1.49
18B055;MED2;46;1.63
18B105;MED2;60;1.84
18B236;MED2;50;1.52
18B282;MED2;42;1.15
18B051;MED2;51;1.71
18B123;MED2;60;1.91
18B075;MED2;54;1.92
18B070;MED2;47;1.72
18B073;MED2;49;1.47
18B084;MED2;39;1.33
18B097;MED2;39;1.37
18B054;MED2;58;1.78
18B122;MED2;50;1.86
18B248;MED2;40;1.08
18B083;MED2;57;1.95
18B186;MED2;54;1.85
18B103;MED2;48;1.86
18B088;MED2;49;1.76
18B052;MED2;45;1.46
18B100;MED2;56;1.97
18B144;MED2;54;1.71
17B220;MED3;111;1.84
17B052;MED3;118;1.98
17B167;MED3;109;1.64
17B240;MED3;118;1.7
17B026;MED3;113;1.63
17B193;MED3;118;1.69
17B066;MED3;100;1.28
17B126;MED3;96;1.25
17B279;MED3;120;1.8
17B042;MED3;116;1.96
17B049;MED3;101;1.68
17B072;MED3;116;1.45
17B214;MED3;114;1.63
17B182;MED3;88;1.25
17B191;MED3;120;1.93
17B316;MED3;120;1.99
17B078;MED3;118;1.63
17B084;MED3;118;1.93
17B061;MED3;108;1.48
17B236;MED3;120;1.91
17B144;MED3;48;1
17B092;MED3;111;1.76
17B272;MED3;118;1.75
13B105;MED4;0;0
14B114;MED4;0;0
15B033;MED4;0;0
15B046;MED4;0;0
16B112;MED4;0;0
16B115;MED4;0;0
16B116;MED4;0;0
16B117;MED4;0;0
16B119;MED4;0;0
16B124;MED4;0;0
16B126;MED4;0;0
16B127;MED4;0;0
16B128;MED4;0;0
16B129;MED4;0;0
16B133;MED4;0;0
16B135;MED4;0;0
16B136;MED4;0;0
16B137;MED4;0;0
16B138;MED4;0;0
16B139;MED4;0;0
16B140;MED4;0;0
16B143;MED4;0;0
16B145;MED4;0;0
16B148;MED4;0;0
16B150;MED4;0;0
16B151;MED4;0;0
16B159;MED4;0;0
16B160;MED4;0;0
16B161;MED4;0;0
16B162;MED4;0;0
16B165;MED4;0;0
16B167;MED4;0;0
16B170;MED4;0;0
16B174;MED4;0;0
16B181;MED4;0;0
16B185;MED4;0;0
16B186;MED4;0;0
16B188;MED4;0;0
16B189;MED4;0;0
16B190;MED4;0;0
16B192;MED4;0;0
16B194;MED4;0;0
16B195;MED4;0;0
16B196;MED4;0;0
16B197;MED4;0;0
16B210;MED4;0;0
16B211;MED4;0;0
16B217;MED4;0;0
16B218;MED4;0;0
16B222;MED4;0;0
16B223;MED4;0;0
16B231;MED4;0;0
16B244;MED4;0;0
16B247;MED4;0;0
16B251;MED4;0;0
16B254;MED4;0;0
16B255;MED4;0;0
16B260;MED4;0;0
16B261;MED4;0;0
16B262;MED4;0;0
16B266;MED4;0;0
16B287;MED4;0;0
16B292;MED4;0;0
16B297;MED4;0;0
16B299;MED4;0;0
16B300;MED4;0;0
16B302;MED4;0;0
16B308;MED4;0;0
16B323;MED4;0;0
15B155;MED5;58;2.79
15B227;MED5;60;3.1
15B105;MED5;60;3.22
15B243;MED5;55;2.67
15B219;MED5;57;2.93
15B085;MED5;55;2.8
15B090;MED5;60;3.08
15B212;MED5;60;3.17
15B234;MED5;55;2.62
15B046;MED5;17;1.1
15B099;MED5;58;2.92
15B232;MED5;50;2.46
15B075;MED5;55;2.82
15B014;MED5;60;3.16
15B152;MED5;45;2.3
15B188;MED5;60;2.9
15B201;MED5;60;3.38
15B077;MED5;60;2.8
15B235;MED5;60;3.18
15B250;MED5;52;2.42
15B066;MED5;60;2.98
15B094;MED5;57;2.82
15B016;MED5;52;2.62
15B106;MED5;60;2.89
15B087;MED5;60;2.95
15B126;MED5;55;2.75
12B028;MED5;45;1.32
14B102;MED5;50;2.4
15B103;MED5;60;3.04
15B093;MED5;60;3.15
18B107;MED5;60;2.97
15B226;MED5;60;3.01
15B240;MED5;47;2.27
15B050;MED5;38;1.9
15B070;MED5;60;3.05
15B068;MED5;57;3.16
15B062;MED5;58;3.06
14B051;MED5;57;2.96
15B133;MED5;60;3.08
15B215;MED5;57;2.81
15B203;MED5;50;2.39
15B008;MED5;55;2.93
15B119;MED5;52;2.54
15B225;MED5;55;2.62
15B027;MED5;50;2.52
15B224;MED5;57;2.63
18B085;MED5;55;2.89
15B160;MED5;60;3.17
18B050;MED5;55;2.41
15B159;MED5;60;2.97
15B233;MED5;55;2.73
15B231;MED5;57;2.7
15B222;MED5;52;2.6
18B111;MED5;60;3.04
15B082;MED5;55;2.72
15B158;MED5;57;3
15B096;MED5;55;2.66
15B124;MED5;60;2.96
15B228;MED5;55;2.96
13B105;MED5;34;0
15B237;MED5;60;2.89
15B206;MED5;52;2.56
15B134;MED5;60;3.09
15B079;MED5;55;2.74
15B081;MED5;60;2.95
15B038;MED5;60;2.97
15B221;MED5;60;2.87
15B229;MED5;60;2.91
18B115;MED5;55;2.66
15B104;MED5;38;1.82
15B218;MED5;52;2.51
15B074;MED5;60;3
15B088;MED5;57;2.82
15B236;MED5;60;3.11
15B033;MED5;0;0
15B161;MED5;60;3.18
15B157;MED5;55;2.67
15B156;MED5;57;2.86
15B230;MED5;60;3.22
15B029;MED5;42;1.89
15B084;MED5;55;2.29
15B210;MED5;50;2.07
15B223;MED5;55;2.59
14B089;MED6;120;2.89
13B117;MED6;120;2.62
14B018;MED6;120;2.77
14B106;MED6;120;3.28
14B058;MED6;120;2.64
14B036;MED6;120;3.25
14B056;MED6;120;2.73
14B093;MED6;120;3.02
14B296;MED6;120;2.99
14B111;MED6;120;2.8
14B057;MED6;120;2.7
14B055;MED6;120;2.71
14B105;MED6;120;2.97
14B070;MED6;120;3.26
14B118;MED6;120;3.15
17B249;MED6;120;2.67
14B119;MED6;120;2.59
14B109;MED6;120;2.84
14B066;MED6;120;3.03
14B017;MED6;120;2.68
14B038;MED6;120;2.89
14B087;MED6;120;2.74
14B022;MED6;120;2.68
14B081;MED6;120;2.73
14B103;MED6;120;2.75
14B096;MED6;120;2.68
13B013;MED6;95;1.4
14B091;MED6;120;2.9
14B302;MED6;120;2.77
14B016;MED6;120;2.9
14B040;MED6;120;2.75
14B059;MED6;120;3.05
11B247;MED6;120;2.52
14B107;MED6;100;2.32
14B043;MED6;120;3.18
14B110;MED6;120;2.95
14B044;MED6;120;3.15
14B225;MED6;120;2.91
14B116;MED6;120;2.1
14B101;MED6;120;3.13
14B284;MED6;120;3
13B103;MED6;120;2.41
14B305;MED6;120;2.63
14B019;MED6;94;2.02
14B282;MED6;120;3.21
14B117;MED6;120;3.05
14B090;MED6;120;2.83
14B196;MED6;120;2.72
14B136;MED6;120;2.24
17B174;MED6;120;2.84
14B041;MED6;120;3.23
14B198;MED6;120;2.74
14B094;MED6;120;2.79
17B283;MED6;120;2.74
14B030;MED6;120;3.03
14B115;MED6;120;3.15
14B064;MED6;120;2.68
14B092;MED6;120;2.92
13B048;MED6;85;1.59
