matricule;classe;mpc;credits_capitalized
18B150;MED2;1,81;54
18B056;MED2;2,43;60
18B247;MED2;1,40;40
18B067;MED2;2,11;60
18B076;MED2;2,55;60
18B146;MED2;1,90;51
18B220;MED2;1,49;51
18B116;MED2;2,84;60
18B141;MED2;1,59;52
18B062;MED2;1,47;52
18B099;MED2;1,10;37
18B072;MED2;2,91;60
18B065;MED2;2,33;60
18B125;MED2;2,42;60
18B127;MED2;2,04;55
18B183;MED2;2,98;60
18B066;MED2;2,93;60
18B110;MED2;3,08;60
18B048;MED2;2,20;58
18B093;MED2;1,60;53
18B245;MED2;1,76;47
18B046;MED2;2,47;60
18B214;MED2;2,42;60
18B195;MED2;1,61;44
18B205;MED2;2,43;60
18B275;MED2;1,77;56
18B243;MED2;2,26;60
18B086;MED2;2,29;56
18B225;MED2;2,69;60
18B124;MED2;2,52;60
18B108;MED2;1,97;60
18B102;MED2;1,89;60
18B078;MED2;2,21;57
18B134;MED2;1,49;52
18B055;MED2;1,63;46
18B105;MED2;1,84;60
18B096;MED2;2,15;54
18B236;MED2;1,52;50
18B282;MED2;1,15;42
18B071;MED2;2,92;60
18B142;MED2;2,76;60
18B051;MED2;1,71;51
18B123;MED2;1,91;60
18B075;MED2;1,92;54
18B070;MED2;1,72;47
18B114;MED2;2,46;60
18B045;MED2;2,58;60
18B117;MED2;2,71;58
18B221;MED2;2,38;60
18B073;MED2;1,47;49
18B098;MED2;2,50;60
18B061;MED2;2,71;60
18B223;MED2;2,69;60
18B044;MED2;2,34;60
18B084;MED2;1,33;39
18B097;MED2;1,37;39
18B087;MED2;2,11;60
18B054;MED2;1,78;58
18B074;MED2;2,66;60
18B215;MED2;2,40;60
18B145;MED2;2,25;60
18B122;MED2;1,86;50
18B047;MED2;2,24;60
18B248;MED2;1,08;40
18B143;MED2;3,31;60
18B109;MED2;2,66;60
18B126;MED2;2,79;60
18B080;MED2;2,66;60
18B083;MED2;1,95;57
18B104;MED2;2,71;60
18B203;MED2;2,38;60
18B089;MED2;3,24;60
18B113;MED2;2,03;60
18B101;MED2;2,52;58
18B186;MED2;1,85;54
18B153;MED2;2,80;60
18B103;MED2;1,86;48
18B226;MED2;2,54;60
18B130;MED2;2,46;60
18B094;MED2;2,12;60
18B095;MED2;2,03;55
18B088;MED2;1,76;49
18B052;MED2;1,46;45
18B100;MED2;1,97;56
18B144;MED2;1,71;54
17B220;MED3;1,84;111
17B052;MED3;1,98;118
17B167;MED3;1,64;109
17B107;MED3;2,98;120
17B056;MED3;2,91;120
17B172;MED3;2,28;120
17B192;MED3;2,53;120
